Round	Heat	Start	Pilot	Pos.	Lap	Time	Penalty	Result	HS	Lap 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1	1	9:17:48	forest 森澤	1	15	318.73	FALSE	15	5.91	26.65	23.54	21.68	20.40	19.22	19.43	18.27	19.97	20.08	20.21	21.15	20.34	19.26	20.94	21.69										
1	1	9:17:48	カロヤン	2	15	326.90	FALSE	15	5.85	21.43	25.98	19.63	19.46	19.53	19.95	20.44	19.40	19.65	21.39	20.92	22.52	21.32	22.27	27.16										
1	1	9:17:48	shuntana	3	10	312.31	FALSE	10	5.77	25.33	22.29	24.01	23.59	22.13	21.00	31.28	93.04	21.75	22.13															
1	1	9:17:48	a2c	4	6	127.88	FALSE	6	5.02	21.06	19.73	20.76	20.45	20.89	19.98																			
1	2	9:33:18	Saqoosha	1	16	320.35	FALSE	16	8.91	23.62	19.86	21.53	19.76	19.63	19.19	19.13	18.55	19.11	17.93	18.62	17.94	17.58	19.17	19.00	20.83									
1	2	9:33:18	shig nakajima	2	8	256.84	FALSE	8	39.28	26.91	23.70	27.91	25.43	29.64	26.20	26.99	30.78																	
1	2	9:33:18	コロコロ	3	6	285.73	FALSE	6	19.92		60.14	44.48	61.54	55.83	32.39																			
1	2	9:33:18	Reina Style	4	0	0.00	FALSE	0																										
1	3	9:43:47	T.OKA	1	15	302.62	FALSE	15	5.59	20.72	21.60	19.86	19.71	19.48	20.28	19.12	19.16	20.54	19.75	19.61	20.32	19.28	19.29	18.30										
1	3	9:43:47	AK.Kouno	2	15	306.72	FALSE	15	6.21	21.05	19.38	19.74	20.80	19.39	18.78	20.08	20.58	20.88	19.96	20.94	20.34	19.79	19.19	19.59										
1	3	9:43:47	アエロ	3	15	309.62	FALSE	15	6.30	22.98	20.52	20.08	18.97	18.66	19.48	18.76	21.28	19.51	20.68	20.79	21.21	20.08	20.25	20.06										
1	3	9:43:47	YASHIMA	4	15	314.01	FALSE	15	9.06	21.28	18.35	19.48	20.45	20.06	19.67	20.98	20.30	19.34	24.81	20.36	20.04	18.77	18.81	22.25										
1	4	9:53:06	くっすーFPV	1	16	323.64	FALSE	16	6.19	21.90	20.34	19.99	19.03	19.31	18.62	19.18	18.71	18.64	18.83	18.48	18.50	18.61	18.58	19.34	20.67									
1	4	9:53:06	INOUE	2	16	308.40	FALSE	16	4.83	20.22	18.02	18.73	17.50	18.63	20.73	19.69	19.32	19.32	18.37	18.36	19.26	18.57	18.90	19.02	18.95									
1	4	9:53:06	syaa-matunaburu	3	7	174.40	FALSE	7	12.86	25.36	22.64	20.35	21.05	27.99	21.57	22.57																		
2	5	10:08:45	INOUE	1	16	302.52	FALSE	16	5.21	18.81	18.50	18.90	37.32	17.79	18.31	18.48	18.54	19.29	19.07	18.55	18.49	18.32	18.82	18.12										
2	5	10:08:45	くっすーFPV	2	16	307.04	FALSE	16	5.51	19.93	18.67	18.46	18.96	17.90	18.01	18.49	19.04	18.49	19.45	20.19	18.86	18.48	18.66	18.97	18.98									
2	5	10:08:45	T.OKA	3	16	308.19	FALSE	16	5.44	18.46	19.31	18.79	17.84	17.18	17.47	18.21	18.44	18.56	18.67	19.08	18.30	18.22	17.98	16.24	30.01									
2	5	10:08:45	Saqoosha	4	12	225.89	FALSE	12	6.74	18.92	18.31	17.79	18.25	17.69	17.73	17.71	18.36	18.35	18.86	19.29	17.90													
2	6	10:17:11	forest 森澤	1	16	306.33	FALSE	16	6.26	18.97	18.46	18.17	19.56	18.21	18.41	19.18	19.04	18.28	17.88	17.97	18.52	19.48	19.13	19.58	19.21									
2	6	10:17:11	YASHIMA	2	16	319.83	FALSE	16	4.74	20.83	19.96	19.14	19.59	19.12	18.69	20.11	19.04	19.53	21.24	19.50	18.65	18.84	19.20	19.77	21.89									
2	6	10:17:11	AK.Kouno	3	16	314.28	FALSE	16	46.77	19.11	19.18	18.60	19.29	18.93	18.80	19.27	18.42	18.03	22.19	19.47	18.72	18.51	18.99											
2	6	10:17:11	アエロ	4	15	319.09	FALSE	15	5.27	17.22	22.41	19.52	18.69	17.81	18.71	18.02	18.87	19.31	18.97	19.39	18.56	19.95	21.13	20.97	24.28									
2	7	10:25:41	syaa-matunaburu	1	16	295.13	FALSE	16	6.06	18.82	19.27	18.60	18.20	17.78	18.75	17.86	17.44	18.09	17.53	16.99	16.89	17.61	17.27	18.33	19.65									
2	7	10:25:41	カロヤン	2	16	320.49	FALSE	16	5.52	19.98	18.64	19.31	19.94	20.65	19.25	18.82	20.46	20.18	19.88	19.71	19.56	18.94	18.76	18.64	22.24									
2	7	10:25:41	shuntana	3	15	316.87	FALSE	15	5.19	20.36	19.64	19.58	18.97	18.11	17.57	25.46	22.85	19.53	18.05	18.22	18.90	35.15	20.11	19.17										
2	7	10:25:41	shig nakajima	4	13	318.50	FALSE	13	8.04	25.81	23.66	24.22	22.80	24.41	23.11	23.01	23.53	23.25	24.12	23.74	24.28	24.52												
2	8	10:34:50	a2c	1	16	298.85	FALSE	16	4.92	18.70	18.90	19.88	19.48	18.68	19.24	20.66	18.69	18.18	17.95	17.66	17.59	17.36	16.79	16.90	17.27									
2	8	10:34:50	Reina Style	2	13	278.32	FALSE	13	4.37	24.15	20.84	20.37	19.49	20.16	20.04	20.12	21.76	21.53	20.10	20.79	22.07	22.51												
2	8	10:34:50	コロコロ	3	9	318.09	FALSE	9	7.66	39.41	36.92	35.25	36.00	32.59	32.69	31.27	31.27	35.04																
3	9	10:52:54	a2c	1	17	304.92	FALSE	17	3.95	17.83	17.16	17.08	17.29	16.83	17.41	18.50	18.39	18.38	17.44	17.02	18.67	18.01	18.17	17.79	17.36	17.65								
3	9	10:52:54	INOUE	2	17	311.18	FALSE	17	4.67	17.46	17.48	18.14	17.41	17.65	18.30	18.12	19.08	18.87	18.35	18.12	17.66	17.54	17.83	17.12	18.37	19.00								
3	9	10:52:54	forest 森澤	3	16	295.58	FALSE	16	5.08	19.27	17.87	17.70	17.18	18.25	18.91	18.37	17.98	18.28	17.55	18.47	18.45	18.08	17.08	17.55	19.49									
3	9	10:52:54	syaa-matunaburu	4	14	258.05	FALSE	14	4.76	18.03	17.93	17.48	19.00	18.26	17.95	18.58	18.72	18.25	17.49	17.36	17.85	18.49	17.88											
3	10	11:03:05	T.OKA	1	17	310.59	FALSE	17	4.46	16.47	18.32	17.77	18.94	18.22	18.27	19.65	17.45	17.67	17.50	18.27	17.68	17.73	18.44	17.44	17.74	18.57								
3	10	11:03:05	くっすーFPV	2	16	303.30	FALSE	16	5.21	18.76	18.62	18.38	18.47	18.46	18.76	18.84	19.02	19.09	18.36	19.52	17.93	17.56	17.57	19.18	19.60									
3	10	11:03:05	AK.Kouno	3	16	301.67	TRUE	14	5.79	19.58	17.96	17.08	18.07	18.24	18.54	18.61	19.33	19.18	18.27	19.29	19.78	18.20	17.80	18.07	17.88									
3	10	11:03:05	YASHIMA	4	15	323.93	TRUE	13	4.79	19.66	19.68	21.61	18.79	19.52	18.95	19.50	18.96	18.84	20.30	18.11	19.61	19.53	19.62	46.44										
3	11	11:11:01	カロヤン	1	16	312.83	FALSE	16	5.57	20.71	18.59	18.19	19.38	18.33	18.11	19.30	18.21	18.40	18.70	18.25	18.35	19.29	17.14	17.64	19.28									
